Year,RK,ID,NAME,TEAM,SALARY,POS,GMS,PASS_YDS,PASS_TD,PASS_INT,RUSH_YDS,RUSH_TD,RUSH_REC,REC_YDS,REC_TD,DEF_SCK,DEF_INT,DEF_FF,DEF_FR,FPTS_G,FPTS
2016,342,17001,Dexter McDonald,LV,525000.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,434,11270,Dez Bryant,BAL,438228.00,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,35,11270,Dez Bryant,DAL,16000000.00,WR,1,0,0,0,0,0,9,132,2,0,0,0,0,25.2,25.2
2014,139,11270,Dez Bryant,DAL,2030000.00,WR,2,0,0,0,0,0,6,86,0,0,0,0,0,4.3,8.6
2015,356,14292,Dezman Moses,KC,585000.00,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,349,14875,Dion Jordan,SEA,1907000.00,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
2019,282,12708,Dion Lewis,TEN,4300000.00,RB,3,0,0,0,8,0,2,14,0,0,0,0,0,0.7,2.2
2017,37,12708,Dion Lewis,NE,1400000.00,RB,3,0,0,0,135,0,16,111,0,0,0,0,0,7.5,22.6
2016,44,12708,Dion Lewis,NE,913189.00,RB,3,0,0,0,79,1,5,33,1,0,0,0,0,7.1,21.2
2016,232,14876,Dion Sims,MIA,1671000.00,TE,1,0,0,0,0,0,5,34,0,0,0,0,0,3.4,3.4
2020,119,21077,Diontae Johnson,PIT,689589.00,WR,1,0,0,0,0,0,11,117,0,0,0,0,0,11.7,11.7
2021,1918,20722,Diontae Spencer,DEN,######,WR,15,0,0,0,0,0,1,-3,0,0,0,0,0,-0.3,-4.3
2021,743,22767,Divine Deablo,LV,1642424.00,LB,17,0,0,0,0,0,0,0,0,0,0,0,1,2.4,41.5
2021,936,19816,DJ Chark,JAX,2183000.00,WR,4,0,0,0,0,0,7,154,2,0,0,0,0,6.8,27.4
2020,434,22477,Dominique Dafney,GB,199433.00,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,342,14593,Dominique Jones,MIA,516178.00,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,342,2556,Dominique Rodgers-Cromartie,NYG,6000000.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,263,11154,Don Carey,DET,1185000.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2014,263,11154,Don Carey,DET,779026.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2016,342,14874,Don Jones,HOU,436764.00,FS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,342,6300,Don Muhlbach,DET,1065000.00,LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,360,6300,Don Muhlbach,DET,1048788.00,LS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,296,13590,Donald Butler,MIA,715294.00,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2017,240,19208,Donald Payne,JAX,465000.00,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,1.2,3.5
2020,301,21754,Donovan Peoples-Jones,CLE,1013666.00,WR,2,0,0,0,0,0,2,31,0,0,0,0,0,1.6,3.1
2018,359,18957,D'Onta Foreman,HOU,588500.00,RB,1,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0.3
2021,528,13748,Dont'a Hightower,NE,8622059.00,LB,15,0,0,0,0,0,0,0,0,1.5,0,0,0,4.2,62.35
2019,116,13748,Dont'a Hightower,NE,8945305.00,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,10.5,10.5
2018,53,13748,Dont'a Hightower,NE,7195305.00,LB,3,0,0,0,0,0,0,0,0,2,0,0,0,6,18
2016,43,13748,Dont'a Hightower,NE,7767933.00,LB,3,0,0,0,0,0,0,0,0,1,0,1,0,7.2,21.6
2015,68,13748,Dont'a Hightower,NE,1443273.00,LB,2,0,0,0,0,0,0,0,0,0,0,0,1,8.2,16.5
2014,68,13748,Dont'a Hightower,NE,1092182.00,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,5,15
2021,815,16669,Dontae Johnson,SF,######,CB,16,0,0,0,0,0,0,0,0,0,0,1,2,2.2,36
2017,204,14081,Dontari Poe,ATL,8000000.00,DT,2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,5.5
2016,223,14081,Dontari Poe,KC,6146000.00,DT,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5
2015,187,14081,Dontari Poe,KC,1933640.00,DT,2,0,0,0,0,0,0,0,0,0,0,0,1,3,6
2021,417,19870,Donte Jackson,CAR,2443000.00,CB,12,0,0,0,0,0,0,0,0,0,2,1,0,6.4,76.5
2014,77,16232,Donte Moncrief,IND,963520.00,WR,3,0,0,0,0,0,5,86,1,0,0,0,0,4.9,14.6
2018,62,16728,Dontrelle Inman,IND,511176.00,WR,2,0,0,0,0,0,8,108,1,0,0,0,0,8.4,16.8
2020,342,19905,Dorian O'Daniel,KC,873102.00,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2
2019,153,19905,Dorian O'Daniel,KC,607500.00,LB,3,0,0,0,0,0,0,0,0,1,0,0,0,2.5,7.6
2018,243,13460,Doug Baldwin,SEA,8656250.00,WR,1,0,0,0,0,0,3,32,0,0,0,0,0,3.2,3.2
2016,20,13460,Doug Baldwin,SEA,5000000.00,WR,2,0,0,0,7,0,16,184,2,0,0,0,0,15.6,31.1
2015,55,13460,Doug Baldwin,SEA,3550519.00,WR,2,0,0,0,0,0,13,124,1,0,0,0,0,9.2,18.4
2014,26,13460,Doug Baldwin,SEA,6200000.00,WR,3,0,0,0,0,0,10,147,2,0,0,0,0,8.2,24.7
2014,23,2503,D'Qwell Jackson,IND,5500000.00,ILB,3,0,0,0,0,0,0,0,0,0,1,0,0,8.5,25.5
2019,82,20778,Dre Greenlaw,SF,816716.00,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,4.3,13
2015,268,13871,Dre Kirkpatrick,CIN,1565862.00,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5
